csa_name_mod2_x,company_id,company_name_x,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start_x,head_count_worked_f30d,head_count_requested_f30d,fill_rate_f30d,shifts_worked_f30d,avg_days_between_shifts_f30d,csa_name_mod2_y,company_name_y,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start_y
"Dallas-Fort Worth, TX-OK",4479,Hackbarth Delivery Service,5,1,1,1.0,20,255,218,2022Q3,27,38,0.7105,20,1.2632,"Dallas-Fort Worth, TX-OK",Hackbarth Delivery Service,186.0,201.0,0.9254,Warehouse,1.4126,17.307692307692307,4.314,6503.38,1.5896,202.0,2022Q3
"Dallas-Fort Worth, TX-OK",4481,1-800 Water Damage - Dallas,5,3,3,1.0,4,51,8,2022Q3,14,46,0.3043,4,1.0,"Dallas-Fort Worth, TX-OK",1-800 Water Damage - Dallas,40.0,42.0,0.9524,Construction,2.5625,17.0,50.25,1953.29,1.3333,41.0,2022Q3
All Other Markets Combined,4482,Fairfield Nashville MetroCenter,2,3,3,1.0,23,55,4,2022Q3,32,54,0.5926,23,1.1364,All Other Markets Combined,Fairfield Nashville MetroCenter,,,,Hospitality,,,2.0,,,,2022Q3
All Other Markets Combined,4484,Main Stream Events and PR Firm,3,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,All Other Markets Combined,Main Stream Events and PR Firm,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4485,Thomas Cuisine - Utah (ARUP),5,2,2,1.0,24,275,247,2022Q3,26,30,0.8667,24,1.087,"Salt Lake City-Provo-Orem, UT",Thomas Cuisine - Utah (ARUP),149.0,149.0,1.0,Food Services,1.0068,16.215753424657535,2.6541,6095.77,0.951,147.0,2022Q3
All Other Markets Combined,4490,Hammerbrush Restoration,2,1,1,1.0,1,0,0,2022Q3,1,1,1.0,1,,All Other Markets Combined,Hammerbrush Restoration,,,,,,,,,,,2022Q3
"Las Vegas-Henderson, NV",4495,Braud's Funnel Cake Cafe',2,1,1,1.0,1,1,1,2022Q3,1,1,1.0,1,,"Las Vegas-Henderson, NV",Braud's Funnel Cake Cafe',,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4498,Ridley's Family Markets - Midway,4,2,3,1.5,15,99,45,2022Q3,29,56,0.5179,15,1.9286,"Salt Lake City-Provo-Orem, UT",Ridley's Family Markets - Midway,4.0,4.0,1.0,Retail,1.0,16.0,307.25,217.6,3.0,4.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4498,Ridley's Family Markets - Midway,4,2,3,1.5,15,99,45,2022Q3,29,56,0.5179,15,1.9286,All Other Markets Combined,Ridley's Family Markets - Midway,4.0,4.0,1.0,Retail,1.0,16.0,307.25,217.6,3.0,4.0,2022Q3
All Other Markets Combined,4498,Ridley's Family Markets - Midway,4,2,3,1.5,15,99,45,2022Q3,29,56,0.5179,15,1.9286,"Salt Lake City-Provo-Orem, UT",Ridley's Family Markets - Midway,4.0,4.0,1.0,Retail,1.0,16.0,307.25,217.6,3.0,4.0,2022Q3
