csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start
"Salt Lake City-Provo-Orem, UT",414,nilExn,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",415,Naod atrtoiouO eMnid,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",416,ieontiAu ultFlao fimsVtmdlne,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",417,uooSk,77.0,78.0,0.9872,Warehouse,5.64,15.0,32.32,2362.31,1.7,141.0,2020Q3
"Salt Lake City-Provo-Orem, UT",418,ypDeuB toeta,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",422,yootrtntrieL asbRei,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",423,ACSLM AC LU,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",424,-rMS)ae (CkLoCr,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",426,omfr3,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",428,ltioCEevne np.A ,15.0,15.0,1.0,Events,1.6364,15.0,6.4615,525.39,5.0,18.0,2020Q4
"Salt Lake City-Provo-Orem, UT",430,OIKA,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",431,risyiSxnDi,,,,,,,,,,,2020Q3
"Dallas-Fort Worth, TX-OK",433,soPaelt iw-csSMh,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",434,tiFluenERmAdnR lClfeeort T,3225.0,3330.0,0.9685,Warehouse,17.5263,14.25263157894737,1.57,109871.78,1.2646,3330.0,2020Q3
"Dallas-Fort Worth, TX-OK",437,iosnivctaGpht igMra,,,,,,,,,,,
All Other Markets Combined,439, ndtsr ac'srctoEo,,,,Performance Arts,,,2.1111,,,,
"Salt Lake City-Provo-Orem, UT",439,dnto' E sscocrart,,,,Performance Arts,,,2.1111,,,,
"Dallas-Fort Worth, TX-OK",441,uosaCoLSIl LcnIt  eThnri,43.0,43.0,1.0,Janitorial,1.08,10.94,20.8218,505.67,3.6486,54.0,2021Q2
All Other Markets Combined,441, IthCe nLLsTIiln uaoSocr,43.0,43.0,1.0,Janitorial,1.08,10.94,20.8218,505.67,3.6486,54.0,2021Q2
"Dallas-Fort Worth, TX-OK",444,u hsrraIidseretCtn,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",445,e SsyAiapgtl uilChSp enegatir,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",446,wtrokbeeanPl,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",448,Mu qisNVidL,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",449,tePcahhmar,,,,,,,,,,,2020Q3
"Dallas-Fort Worth, TX-OK",450,aascDtan,45.0,49.0,0.9184,Warehouse,1.3429,15.0,3.66,1471.32,1.6667,47.0,2020Q3
"Salt Lake City-Provo-Orem, UT",451,srtlMe-iFiCA  ,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",453,tacaDnas,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",454,lxntiuo FleflmV,501.0,512.0,0.9785,Warehouse,8.6909,14.0,5.3226,15682.47,4.8148,478.0,2020Q3
"Dallas-Fort Worth, TX-OK",454,ellVxoFlnitfm u,501.0,512.0,0.9785,Warehouse,8.6909,14.0,5.3226,15682.47,4.8148,478.0,2020Q3
"Salt Lake City-Provo-Orem, UT",456,rH (M)Oao-erCk,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",458,tllyeliu FmhleneFlfw,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",459,baLahrae chPtsm,271.0,276.0,0.9819,Manufacturing,5.4286,13.081632653061224,4.9815,8674.33,5.2083,266.0,2020Q3
"Salt Lake City-Provo-Orem, UT",460,"oaitnt eSLrCnnl ,IaKLN",1185.0,1247.0,0.9503,Warehouse,5.5964,15.650224215246636,0.7031,45759.42,1.2805,1248.0,2020Q3
"Salt Lake City-Provo-Orem, UT",461,otsrcecC aS MuRoypci',,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",462,BniBg elcdeSRu iriMsv,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",463,rFPgM rseoGs,70.0,72.0,0.9722,Manufacturing,1.2857,14.848214285714286,2.0843,2720.43,2.6296,72.0,2020Q3
"Salt Lake City-Provo-Orem, UT",464,GMA,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",465,gEiceesgd evrSCnienal ,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",467,Yilzoeod,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",468,at p yPuioySMlptr,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",469,draCane,,,,,,,,,,,2020Q3
"Dallas-Fort Worth, TX-OK",472,lPtao real ASDsCP,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",480,lFnMtiiflul,3.0,3.0,1.0,Warehouse,3.0,16.0,3.0,97.2,,3.0,2020Q3
"Salt Lake City-Provo-Orem, UT",491,rmSeterHaom,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",516,"PcTIgrnen se c,ilmei.hoo",,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",524,gPir nalSntlieug,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",528,SCJly pupAM,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",529, tdSGsOrouoM,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",533," eaaCLcsFnpdoC 'SLylsroi t,boy",,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",546,JG fcgerR enoaeii arkagtR,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",552,teBnsoMlisi ,,,,,,,,,,,2020Q4
All Other Markets Combined,554,a ackUmL ipostpidsiNeg,,,,,,,,,,,2020Q3
All Other Markets Combined,556, ulFisttrtnelmwlfhNoe,440.0,507.0,0.8679,Warehouse,1.7417,14.522140221402214,4.6624,14565.87,0.8727,472.0,2020Q3
"Salt Lake City-Provo-Orem, UT",564,rFarl Fenn ta.er loIv-v icIeoc,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",581,dtllruSepyepioEa Cc lc,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",592,nerotnnenrgn stlegsIEneTi aatii,,,,Manufacturing,,,4.5,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",602,o.Hc renphoIS,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",606,ognlosR edeaH inrPo,,,,,,,,,,,2020Q4
